ID,Comment,Sentiment
1828,Problem i njëjtë tashmë herën e tretë.,0
1829,Problem i njëjtë tashmë herën e tretë.,0
1830,Opinionet e njerëzve ndahen rreth kësaj çështjeje.,0/1
1831,"Sipas raporteve, produkti ka disa aspekte pozitive dhe negative.",0/1
1832,Problemi nuk u zgjidh as pas javësh.,0
1833,Ekipi tregoi profesionalizëm të lartë.,1
1834,"Këtë muaj, reportazhi ishte shumë profesional.",1
1835,Ky problem nuk është adresuar fare.,0
1836,Mbështetja teknike ishte e shpejtë dhe efektive.,1
1837,U ndjeva i mashtruar nga ky shërbim.,0
1838,Çmimi është shumë i arsyeshëm për cilësinë.,1
1839,Festivali solli gëzim për të gjithë.,1
1840,Pritja ishte e gjatë dhe e padurueshme.,0
1841,"Sipas raporteve, faqja kishte shumë gabime teknike.",0
1842,Komentët e qytetarëve janë të ndryshme.,0/1
1843,Nuk e meritoja këtë shërbim të keq.,0
1844,Ky vend është i mrekullueshëm për pushime.,1
1845,Infrastruktura është në gjendje të mjerueshme.,0
1846,Koncerti ishte i mrekullueshëm.,1
1847,"Javën e kaluar, situata mbetet e njëjtë si javën e kaluar.",0/1
1848,Çmimi është shumë i arsyeshëm për cilësinë.,1
1849,Restoranti ka atmosferë shumë të këndshme.,1
1850,"Dje, garancia nuk u respektua fare.",0
1851,Diskutimi ishte i hapur pa një konkluzion të qartë.,0/1
1852,Dorëzimi ishte i shpejtë dhe i sigurt.,1
1853,Shumë faleminderit për informacionin e vlefshëm.,1
1854,Diskutimi ishte i hapur pa një konkluzion të qartë.,0/1
1855,Jam i mahnitur me shpejtësinë e dorëzimit.,1
1856,Informacioni ishte i saktë dhe i besueshëm.,1
1857,Stafi ishte i pasjellshëm dhe i pakujdesshëm.,0
1858,"Sipas raporteve, artikulli jep informacion bazik pa thellim.",0/1
1859,Vendimi solli pasoja negative për të gjithë.,0
1860,Ky produkt ka ndryshuar jetën time përditë.,1
1861,Mund të ketë prodhime që i pershtateshin me mire nevojes.,0/1
1862,Aktiviteti ishte i dobishëm dhe argëtues.,1
1863,Shërbimi ishte shumë i dobët dhe i pakujdesshëm.,0
1864,Kthimi i produktit u bë pa asnjë problem.,1
1865,Cilësia korrespondon me çmimin e paguar.,0/1
1866,"Duket se, ky shërbim publik ka dështuar plotësisht.",0
1867,E lexova të gjithë artikullin me kënaqësi.,1
1868,Suksesi i tyre është i merituar plotësisht.,1
1869,Problemi nuk u zgjidh as pas javësh.,0
1870,"Nga përvoja ime, jam i mahnitur me shpejtësinë e dorëzimit.",1
1871,"Vitin e kaluar, cilësia ishte shumë nën pritjet e mia.",0
1872,"Besoj se, njerëzit po vuajnë nga kjo politikë.",0
1873,Ka argumente nga të dyja anët e çështjes.,0/1
1874,Festivali solli gëzim për të gjithë.,1
1875,Çmimi është shumë i arsyeshëm për cilësinë.,1
1876,Cilësia ishte shumë nën pritjet e mia.,0
1877,"Nga përvoja ime, ky produkt është investimi më i mirë që kam bërë.",1
1878,Pritet një vendim zyrtar brenda javëve.,0/1
1879,Informacioni ishte i saktë dhe i besueshëm.,1
1880,"Duket se, ky institucion ka humbur çdo kredibilitet.",0
1881,"Duket se, stafi nuk dinte asgjë rreth produktit.",0
1882,"Kohët e fundit, çështja është komplekse dhe kërkon analizë të mëtejshme.",0/1
1883,Punonjësit nuk janë të trajnuar mirë.,0
1884,Artikulli jep informacion bazik pa thellim.,0/1
1885,Ky institucion ka humbur besueshmërinë.,0
1886,Bashkëpunimi ishte shumë i vështirë.,0
1887,Çështja është komplekse dhe kërkon analizë të mëtejshme.,0/1
1888,Jam i mahnitur me shpejtësinë e dorëzimit.,1
1889,Artikulli kishte shumë gabime faktike.,0
1890,Produkti është saktësisht siç duket në foto.,1
1891,Cilësia tejkalon çmimin e paguar.,1
1892,Situata është alarmante dhe shqetësuese.,0
1893,"Këtë muaj, shërbimi tejkaloi të gjitha pritshmëritë e mia.",1
1894,Faqja kishte shumë gabime teknike.,0
1895,Produkti është i bukur dhe funksional.,1
1896,Aktiviteti ishte i organizuar keq.,0
1897,Paketa ishte e kujdesshme dhe e sigurt.,1
1898,"Nga përvoja ime, informacioni i dhënë ishte i pasaktë.",0
1899,Ishte humbje e parave dhe kohës.,0
1900,"Dje, jam absolutisht i entuziazmuar me rezultatin.",1
1901,Produkti u prishte brenda javës së parë.,0
1902,"Javën e kaluar, produkti nuk përputhej me përshkrimin.",0
1903,Produkti ka disa aspekte pozitive dhe negative.,0/1
1904,Shkeljet e rregullave janë të shumta.,0
1905,"Mendoj se, çmimi ishte i drejtë dhe transparent.",1
1906,Diskutimi ishte i hapur pa një konkluzion të qartë.,0/1
1907,Diskutimi ishte i hapur pa një konkluzion të qartë.,0/1
1908,Situata mbetet e njëjtë si javën e kaluar.,0/1
1909,Dëmtimi i imazhit është i rëndë.,0
1910,"Nga ajo çfarë pashë, ky vendim është i drejtë dhe i mençur.",1
1911,Produkti ka disa aspekte pozitive dhe negative.,0/1
1912,"Kohët e fundit, situata mbetet e njëjtë si javën e kaluar.",0/1
1913,Rezultatet janë të përziera dhe varen nga perspektiva.,0/1
1914,Infrastruktura është në gjendje të mjerueshme.,0
1915,Produkti është i bukur dhe funksional.,1
1916,"Nga ajo çfarë pashë, pritja ishte e gjatë dhe e padurueshme.",0
1917,Libri është ndër më të mirët që kam lexuar.,1
1918,"Dje, produkti është saktësisht siç duket në foto.",1
1919,Procesi i kthimit ishte shumë i komplikuar.,0
1920,Skandali ka dëmtuar besimin e publikut.,0
1921,Shumë i kënaqur me porosinë time.,1
1922,Cilësia ka rënë dramatikisht vitet e fundit.,0
1923,Humbja e parave ishte e pafalshme.,0
1924,Humbja e parave ishte e pafalshme.,0
1925,"Siç duket, mungonte plotësisht transparenca.",0
1926,Problem i njëjtë tashmë herën e tretë.,0
1927,Mbështetja teknike ishte e shpejtë dhe efektive.,1
1928,Ka argumente nga të dyja anët e çështjes.,0/1
1929,Ka argumente nga të dyja anët e çështjes.,0/1
1930,Funksionet janë saktësisht ato që kishim nevojë.,1
1931,Ushqimi ishte i shijshëm dhe i freskët.,1
1932,Aktiviteti u realizua si i planifikuar.,0/1
1933,"Mendoj se, kthimi i produktit u bë pa asnjë problem.",1
1934,Paketa ishte e dëmtuar kur arriti.,0
1935,Ky shërbim publik ka dështuar plotësisht.,0
1936,Komentët e qytetarëve janë të ndryshme.,0/1
1937,Dëmtimi i imazhit është i rëndë.,0
1938,Bashkëpunimi ishte shumë i vështirë.,0
1939,Takimi solli pikëpamje të ndryshme.,0/1
1940,Progresi i arritur është vërtet i jashtëzakonshëm.,1
1941,Produkti nuk përputhej me përshkrimin.,0
1942,U zhgënjeva shumë me blerjen time.,0
1943,Çmimi është shumë i arsyeshëm për cilësinë.,1
1944,"Duket se, mbështetja teknike ishte e shpejtë dhe efektive.",1
1945,Produkti është saktësisht siç duket në foto.,1
1946,"Dje, projekti ka sjellë ndryshime pozitive.",1
1947,Nuk do ta rekomandoj askujt këtë vend.,0
1948,Lajmet e fundit janë shumë informuese.,1
1949,"Nga ajo çfarë pashë, informacioni i dhënë ishte i pasaktë.",0
1950,Nuk ka ndryshime të mëdha të raportuara.,0/1
1951,Statistikat tregojnë tendenca të ndryshme.,0/1
1952,Performanca është e shkëlqyer edhe pas muajsh.,1
1953,"Sipas raporteve, garancia nuk u respektua fare.",0
1954,"Besoj se, artikulli kishte shumë gabime faktike.",0
1955,Dorëzimi ishte në kohë por paketa nuk ishte ideale.,0/1
1956,"Sipas raporteve, u ndjeva i mashtruar nga ky shërbim.",0
1957,Progresi i arritur është vërtet i jashtëzakonshëm.,1
1958,Komentët e qytetarëve janë të ndryshme.,0/1
1959,Garancia nuk u respektua fare.,0
1960,"Duket se, produkti është i bukur dhe funksional.",1
1961,Infrastruktura është në gjendje të mjerueshme.,0
1962,"Nga ajo çfarë pashë, çmimi është shumë i lartë për cilësinë.",0
1963,Skandali ka dëmtuar besimin e publikut.,0
1964,Njerëzit po vuajnë nga kjo politikë.,0
1965,Ky produkt ka ndryshuar jetën time përditë.,1
1966,Punonjësit nuk janë të trajnuar mirë.,0
1967,Nuk mund të besoj se publikuan diçka të tillë.,0
1968,Ky raportim është skandaloz.,0
1969,Stafi ishte shumë miqësor dhe profesional.,1
1970,Ky produkt ka ndryshuar jetën time përditë.,1
1971,"Kohët e fundit, ngjarjen nuk e organizuan siç duhet.",0
1972,"Dje, dorëzimi ishte i shpejtë dhe i sigurt.",1
1973,Reportazhi ishte shumë profesional.,1
1974,"Nga përvoja ime, problemi nuk u zgjidh as pas javësh.",0
1975,Artikulli ishte i shkruar mirë dhe qartë.,1
1976,Ky problem nuk është adresuar fare.,0
1977,Paketa ishte e dëmtuar kur arriti.,0
1978,Aktiviteti u realizua si i planifikuar.,0/1
1979,Problemi vazhdon pa u zgjidhur.,0
1980,Vendimi ishte i gabuar dhe i dëmshëm.,0
1981,Koncerti ishte i mrekullueshëm.,1
1982,"Dje, bashkëpunimi ishte shumë produktiv.",1
1983,Gazetaria e keqe dëmton shoqërinë.,0
1984,"Nga ajo çfarë pashë, dizajni është elegant dhe modern.",1
1985,Kjo situatë është jashtëzakonisht e rëndë.,0
1986,Klienti u trajtua me respekt dhe kujdes.,1
1987,"Besoj se, paketa ishte e kujdesshme dhe e sigurt.",1
1988,"Sipas raporteve, çmimi ishte i drejtë dhe transparent.",1
1989,"Shërbimi ishte fantastik, do të kthehem përsëri!",1
1990,"Vitin e kaluar, njerëzit po vuajnë nga kjo politikë.",0
1991,"Besoj se, ka argumente nga të dyja anët e çështjes.",0/1
1992,Produkti i kryen funksionet bazë të pritshme.,0/1
1993,Do ta rekomandoj tek të gjithë miqtë e mi.,1
1994,"Nga ajo çfarë pashë, funksionet janë saktësisht ato që kishim nevojë.",1
1995,Situata mbetet e njëjtë si javën e kaluar.,0/1
1996,Shërbimi ndaj klientit ishte i jashtëzakonshëm.,1
1997,"Stafi ishte normal, as miqësor as i ftohtë.",0/1
1998,"Sipas raporteve, nuk ka ndryshime të mëdha të raportuara.",0/1
1999,Nuk po shihet asnjë zgjidhje afër.,0
2000,Jam shumë i kënaqur me blerjen time.,1
2001,Situata është alarmante dhe shqetësuese.,0
2002,Situata mbetet e njëjtë si javën e kaluar.,0/1
2003,Pritet një vendim zyrtar brenda javëve.,0/1
2004,"Nga përvoja ime, gazetari ka bërë punë të shkëlqyer.",1
2005,"Nga ajo çfarë pashë, aktiviteti ishte i dobishëm dhe argëtues.",1
2006,Problem i njëjtë tashmë herën e tretë.,0
2007,Pritet një vendim zyrtar brenda javëve.,0/1
2008,"Duket se, festivali solli gëzim për të gjithë.",1
2009,"Duket se, produkti ishte i falsifikuar dhe i rrezikshëm.",0
2010,Situata po përkeqësohet dhe nuk ka zgjidhje.,0
2011,"Nga përvoja ime, ky institucion ka humbur çdo kredibilitet.",0
2012,"Javën e kaluar, paketa ishte e kujdesshme dhe e sigurt.",1
2013,Dorëzimi u vonua shumë pa arsye.,0
2014,Çmimi është i pranueshëm por mund të ishte më i mirë.,0/1
2015,"Sot, produkti nuk funksionoi siç duhet.",0
2016,Cilësia korrespondon me çmimin e paguar.,0/1
2017,Do ta rekomandoj tek të gjithë miqtë e mi.,1
2018,Performanca është e shkëlqyer edhe pas muajsh.,1
2019,Shërbimi i klientit nuk u përgjigj fare.,0
2020,Produkti ishte i falsifikuar dhe i rrezikshëm.,0
2021,Ka argumente nga të dyja anët e çështjes.,0/1
2022,Reportazhi ishte shumë profesional.,1
2023,"Kohët e fundit, bashkëpunimi ishte shumë i vështirë.",0
2024,"Vitin e kaluar, ekipi tregoi profesionalizëm të lartë.",1
2025,"Nga përvoja ime, kjo praktikë është e papranueshme.",0
2026,Ky produkt ka ndryshuar jetën time përditë.,1
2027,Produkti u prishte brenda javës së parë.,0
2028,"Sot, dizajni është elegant dhe modern.",1
2029,Kthimi i produktit u bë pa asnjë problem.,1
2030,Kjo ngjarje ka lënë pasoja të rënda.,0
2031,Shërbimi plotëson kërkesat minimale.,0/1
2032,Rezultatet janë vërtet mbresëlënëse.,1
2033,Informacioni ishte i vjetëruar dhe i rremë.,0
2034,Artikulli ishte i shkruar mirë dhe qartë.,1
2035,Kurrë më nuk do të blej nga ky dyqan.,0
2036,Ngjarjen nuk e organizuan siç duhet.,0
2037,"Nga ajo çfarë pashë, nuk mund të besoj se publikuan diçka të tillë.",0
2038,Situata nuk ka ndryshuar ndjeshëm muajt e fundit.,0/1
2039,Drejtimi i çështjes ishte skandaloz.,0
2040,Lajmi u publikua pa u verifikuar.,0
2041,Materiali është i cilësisë së lartë.,1
2042,Shërbimi plotëson kërkesat minimale.,0/1
2043,"Vitin e kaluar, jam shumë i kënaqur me blerjen time.",1
2044,Produkti është i bukur dhe funksional.,1
2045,"Besoj se, cilësia ka rënë dramatikisht vitet e fundit.",0
2046,"Duket se, restoranti ka atmosferë shumë të këndshme.",1
2047,"Këtë muaj, ngjarja la kujtime të paharrueshme.",1
2048,Problemi vazhdon pa u zgjidhur.,0
2049,"Dje, problemi vazhdon pa u zgjidhur.",0
2050,"Siç duket, ky produkt ka ndryshuar jetën time përditë.",1
2051,Çështja është nën shqyrtim dhe do të vendoset.,0/1
2052,"Siç duket, dizajni është elegant dhe modern.",1
2053,"Vitin e kaluar, përvojë shumë pozitive, do të kthehem.",1
2054,Gazetari ka bërë punë të shkëlqyer.,1
2055,Ky vendim ka efekte pozitive dhe negative.,0/1
2056,Shërbimi ndaj klientit ishte i jashtëzakonshëm.,1
2057,Shumë i lumtur me zgjedhjen time.,1
2058,"Kohët e fundit, festivali solli gëzim për të gjithë.",1
2059,Artikulli kishte shumë gabime faktike.,0
2060,"Nga ajo çfarë pashë, projekti dështoi plotësisht.",0
2061,Kjo situatë është jashtëzakonisht e rëndë.,0
2062,"Siç duket, aktiviteti u realizua si i planifikuar.",0/1
2063,"Siç duket, gjendja po përkeqësohet dita-ditës.",0
2064,Nuk do ta rekomandoj askujt këtë vend.,0
2065,Ekspertët kanë mendime të ndryshme mbi temën.,0/1
2066,Aplikacioni është intuitiv dhe i shpejtë.,1
2067,Humbja e parave ishte e pafalshme.,0
2068,Ishte humbje e parave dhe kohës.,0
2069,Stafi ishte shumë miqësor dhe profesional.,1
2070,"Kohët e fundit, reportazhi ishte shumë profesional.",1
2071,"Mendoj se, kthimi i produktit u bë pa asnjë problem.",1
2072,"Përvojë shumë pozitive, do të kthehem.",1
2073,Stafi ishte i pasjellshëm dhe i pakujdesshëm.,0
2074,Faqja e internetit kishte shumë probleme teknike.,0
2075,Mësimi ishte shumë frytdhënës.,1
2076,Shërbimi ishte shumë i dobët dhe i pakujdesshëm.,0
2077,Koncerti ishte i mrekullueshëm.,1
2078,Rezultatet janë vërtet mbresëlënëse.,1
2079,Lajmi u publikua pa u verifikuar.,0
2080,Koncerti ishte i mrekullueshëm.,1
2081,Libri është ndër më të mirët që kam lexuar.,1
2082,Libri është ndër më të mirët që kam lexuar.,1
2083,"Nga ajo çfarë pashë, libri është ndër më të mirët që kam lexuar.",1
2084,"Vitin e kaluar, lajmi u publikua pa u verifikuar.",0
2085,Jam i mahnitur me shpejtësinë e dorëzimit.,1
2086,Lajmi u publikua pa u verifikuar.,0
2087,Problemi vazhdon pa u zgjidhur.,0
2088,Kjo kompani meriton gjithë lavdërimet.,1
2089,Ekspozita ishte shumë edukuese.,1
2090,Problemi nuk u zgjidh as pas javësh.,0
2091,Ky institucion ka humbur çdo kredibilitet.,0
2092,Skandali ka dëmtuar imazhin e kompanisë.,0
2093,"Sipas raporteve, kam blerë produktin dhe po e vlerësoj akoma.",0/1
2094,Ky produkt është investimi më i mirë që kam bërë.,1
2095,"Kohët e fundit, paketa ishte e kujdesshme dhe e sigurt.",1
2096,Shërbimi i klientit u përgjigj menjëherë.,1
2097,Raporti përfshin të dhëna nga burime të ndryshme.,0/1
2098,Ekipi tregoi profesionalizëm të lartë.,1
2099,Stafi nuk dinte asgjë rreth produktit.,0
2100,Dorëzimi u vonua shumë pa arsye.,0
2101,Ky lajm më bëri të ndihem mirë.,1
2102,Bashkëpunimi ishte shumë i vështirë.,0
2103,Ngjarja ishte e organizuar shumë mirë.,1
2104,Vendimi solli pasoja negative për të gjithë.,0
2105,Situata është alarmante dhe shqetësuese.,0
2106,"Kohët e fundit, diskutimi ishte i hapur pa një konkluzion të qartë.",0/1
2107,Mësimi ishte shumë frytdhënës.,1
2108,"Kohët e fundit, u zhgënjeva shumë me blerjen time.",0
2109,Artikulli kishte shumë gabime faktike.,0
2110,Restoranti ka atmosferë shumë të këndshme.,1
2111,"Dje, artikulli jep informacion bazik pa thellim.",0/1
2112,Ndërtesa e re është e bukur dhe funksionale.,1
2113,"Nga ajo çfarë pashë, skandali ka dëmtuar imazhin e kompanisë.",0
2114,Infrastruktura është në gjendje të mjerueshme.,0
2115,Çmimi ishte i drejtë dhe transparent.,1
2116,"Sot, progresi i arritur është vërtet i jashtëzakonshëm.",1
2117,Performanca është e shkëlqyer edhe pas muajsh.,1
2118,"Besoj se, procesi po vazhdon sipas planit.",0/1
2119,Asnjëherë nuk do ta blej sërish.,0
2120,Pritja ishte e gjatë dhe e padurueshme.,0
2121,Ka argumente nga të dyja anët e çështjes.,0/1
2122,Pritet një vendim zyrtar brenda javëve.,0/1
2123,Funksionet janë saktësisht ato që kishim nevojë.,1
2124,Jam i mahnitur me shpejtësinë e dorëzimit.,1
2125,Ndihma nga komuniteti ishte e mrekullueshme.,1
2126,Shërbimi ndaj klientit ishte i jashtëzakonshëm.,1
2127,"Duket se, ushqimi ishte i shijshëm dhe i freskët.",1
2128,"Sipas raporteve, cilësia e produktit është e shkëlqyer.",1
2129,Kurrë më nuk do të blej nga ky dyqan.,0
2130,Dizajni është elegant dhe modern.,1
2131,Produkti nuk përputhej me përshkrimin.,0
2132,Shërbimi i klientit u përgjigj menjëherë.,1
2133,Garancia nuk u respektua fare.,0
2134,Ekspozita ishte shumë edukuese.,1
2135,"Sipas raporteve, kurrë më nuk do të blej nga ky dyqan.",0
2136,Kompania nuk mori asnjë masë korrektuese.,0
2137,Kjo kompani meriton gjithë lavdërimet.,1
2138,"Kohët e fundit, kurrë më nuk do të blej nga ky dyqan.",0
2139,Vendimi solli pasoja negative për të gjithë.,0
2140,"Siç duket, trajnimi i ndihmoi shumë punonjësit.",1
2141,Njerëzit po vuajnë nga kjo politikë.,0
2142,"Siç duket, faqja e internetit kishte shumë probleme teknike.",0
2143,"Kohët e fundit, dizajni është elegant dhe modern.",1
2144,Diskutimi ishte i hapur pa një konkluzion të qartë.,0/1
2145,"Sot, ky vendim do të dëmtojë shumë njerëz.",0
2146,Progresi i arritur është vërtet i jashtëzakonshëm.,1
2147,"Mendoj se, shërbimi plotëson kërkesat minimale.",0/1
2148,"Besoj se, ekspertët kanë mendime të ndryshme mbi temën.",0/1
2149,"Kohët e fundit, stafi ishte i pasjellshëm dhe i pakujdesshëm.",0
2150,Shërbimi i klientit nuk u përgjigj fare.,0
2151,Funksionet janë saktësisht ato që kishim nevojë.,1
2152,Shërbimi plotëson kërkesat minimale.,0/1
2153,Palët e ndryshme kanë qëndrime të ndryshme.,0/1
2154,"Sot, menaxhimi i situatës ishte katastrofik.",0
2155,Shumë i lumtur me zgjedhjen time.,1
2156,"Vitin e kaluar, e bleva dhe nuk pendohem aspak.",1
2157,"Kohët e fundit, mungonte plotësisht transparenca.",0
2158,Paketa ishte e dëmtuar kur arriti.,0
2159,Ky raportim është skandaloz.,0
2160,Artikulli kishte shumë gabime faktike.,0
2161,Diskutimi ishte i hapur pa një konkluzion të qartë.,0/1
2162,"Nga përvoja ime, ky institucion ka humbur besueshmërinë.",0
2163,"Nga ajo çfarë pashë, shërbimi i klientit u përgjigj menjëherë.",1
2164,Dizajni është elegant dhe modern.,1
2165,"Javën e kaluar, lajmi raporton ngjarjen pa koment.",0/1
2166,Nuk mund të besoj se publikuan diçka të tillë.,0
2167,Vendimi solli pasoja negative për të gjithë.,0
2168,U ndjeva i mashtruar nga ky shërbim.,0
2169,E bleva dhe do ta vlerësoj me kalimin e kohës.,0/1
2170,Shërbimi plotëson kërkesat minimale.,0/1
2171,Faqja e internetit kishte shumë probleme teknike.,0
2172,Statistikat tregojnë tendenca të ndryshme.,0/1
2173,Situata është e ndërlikuar dhe ka shumë aspekte.,0/1
2174,"Besoj se, ekipi i mbështetjes ishte shumë ndihmues.",1
2175,Ky lajm më bëri të ndihem mirë.,1
2176,Faqja e internetit është e lehtë për t'u përdorur.,1
2177,"Duket se, u ndjeva i mashtruar nga ky shërbim.",0
2178,"Dje, skandali ka dëmtuar besimin e publikut.",0
2179,Ngjarja la kujtime të paharrueshme.,1
2180,"Kohët e fundit, ky problem nuk është adresuar fare.",0
2181,Ishte humbje e parave dhe kohës.,0
2182,Projekti ka përparuar por ka ende sfida.,0/1
2183,"Javën e kaluar, ekspozita ishte shumë edukuese.",1
2184,Aktiviteti u realizua si i planifikuar.,0/1
2185,E bleva dhe nuk pendohem aspak.,1
2186,Rezultatet ishin shumë nën pritshmëritë.,0
2187,Stafi ishte shumë miqësor dhe profesional.,1
2188,"Duket se, kjo ngjarje ka lënë pasoja të rënda.",0
2189,Ishte humbje e parave dhe kohës.,0
2190,Shërbimi plotëson kërkesat minimale.,0/1
2191,Kjo praktikë është e papranueshme.,0
2192,Filmi ishte emocionues dhe interesant.,1
2193,"Dje, dëmtimi i imazhit është i rëndë.",0
2194,"Dje, infrastruktura është në gjendje të mjerueshme.",0
2195,Problem i njëjtë tashmë herën e tretë.,0
2196,"Sipas raporteve, çmimi është shumë i lartë për cilësinë.",0
2197,Kjo politikë do të ndihmojë shumë njerëz.,1
2198,"Siç duket, kjo praktikë është e papranueshme.",0
2199,"Dje, kjo kompani meriton gjithë lavdërimet.",1
2200,Shërbimi plotëson kërkesat minimale.,0/1
2201,Stafi ishte shumë miqësor dhe profesional.,1
2202,Cilësia ishte shumë nën pritjet e mia.,0
2203,"Siç duket, do të kërkoj rimbursim për këtë produkt.",0
2204,Cilësia tejkalon çmimin e paguar.,1
2205,"Këtë muaj, lajmi raporton ngjarjen pa koment.",0/1
2206,"Siç duket, jam absolutisht i entuziazmuar me rezultatin.",1
2207,Vendimi ishte i gabuar dhe i dëmshëm.,0
2208,Njerëzit po vuajnë nga kjo politikë.,0
2209,Informacioni i disponueshëm është i kufizuar.,0/1
2210,Produkti ishte i falsifikuar dhe i rrezikshëm.,0
2211,Procesi i kthimit ishte shumë i komplikuar.,0
2212,Projekti ka sjellë ndryshime pozitive.,1
2213,"Besoj se, shumë i kënaqur me porosinë time.",1
2214,Do ta rekomandoj tek të gjithë miqtë e mi.,1
2215,Lajmet e fundit janë shumë informuese.,1
2216,Nuk do ta rekomandoj askujt këtë vend.,0
2217,Paketa ishte e dëmtuar kur arriti.,0
2218,Problem i njëjtë tashmë herën e tretë.,0
2219,Performanca është e shkëlqyer edhe pas muajsh.,1
2220,Festivali solli gëzim për të gjithë.,1
2221,Dorëzimi u vonua shumë pa arsye.,0
2222,Produkti është i bukur dhe funksional.,1
2223,Çmimi ishte i drejtë dhe transparent.,1
2224,"Javën e kaluar, përvojë shumë pozitive, do të kthehem.",1
2225,Situata është alarmante dhe shqetësuese.,0
2226,"Besoj se, produkti është i bukur dhe funksional.",1
2227,Jam i mahnitur me shpejtësinë e dorëzimit.,1
2228,Drejtimi i çështjes ishte skandaloz.,0
2229,Lajmi ishte i pasaktë dhe mashtrues.,0
2230,Performanca është e shkëlqyer edhe pas muajsh.,1
2231,Filmi ishte emocionues dhe interesant.,1
2232,"Sot, shërbimi ndaj klientit ishte i jashtëzakonshëm.",1
2233,Libri është ndër më të mirët që kam lexuar.,1
2234,Stafi ishte i pasjellshëm dhe i pakujdesshëm.,0
2235,"Vitin e kaluar, produkti u prishte brenda javës së parë.",0
2236,Ekspertët kanë mendime të ndryshme mbi temën.,0/1
2237,"Kohët e fundit, gjendja po përkeqësohet dita-ditës.",0
2238,Shërbimi i klientit nuk u përgjigj fare.,0
2239,"Vitin e kaluar, rekomandoj fuqishëm këtë dyqan.",1
2240,Kjo kompani meriton gjithë lavdërimet.,1
2241,"Sipas raporteve, aktiviteti u realizua si i planifikuar.",0/1
2242,Infrastruktura është në gjendje të mjerueshme.,0
2243,Ky produkt ka ndryshuar jetën time përditë.,1
2244,E lexova të gjithë artikullin me kënaqësi.,1
2245,"Kohët e fundit, aktiviteti ishte i organizuar keq.",0
2246,"Mendoj se, produkti është i bukur dhe funksional.",1
2247,Kam blerë produktin dhe po e vlerësoj akoma.,0/1
2248,Kjo ngjarje ka lënë pasoja të rënda.,0
2249,Jam absolutisht i entuziazmuar me rezultatin.,1
2250,Kurrë më nuk do të blej nga ky dyqan.,0
2251,Aktiviteti ishte i organizuar keq.,0
2252,Vendimi solli pasoja negative për të gjithë.,0
2253,Paketa ishte e kujdesshme dhe e sigurt.,1
2254,Progresi i arritur është vërtet i jashtëzakonshëm.,1
2255,Gazetaria e keqe dëmton shoqërinë.,0
2256,Ngjarja la kujtime të paharrueshme.,1
2257,Ky raportim është skandaloz.,0
2258,Situata po përkeqësohet dhe nuk ka zgjidhje.,0
2259,Kjo situatë është jashtëzakonisht e rëndë.,0
2260,Çështja është komplekse dhe kërkon analizë të mëtejshme.,0/1
2261,Skandali ka dëmtuar besimin e publikut.,0
2262,Produkti nuk përputhej me përshkrimin.,0
2263,"Besoj se, shërbimi i klientit u përgjigj menjëherë.",1
2264,Situata është alarmante dhe shqetësuese.,0
2265,Shërbimi i klientit nuk u përgjigj fare.,0
2266,Aktiviteti u realizua si i planifikuar.,0/1
2267,Ky problem nuk është adresuar fare.,0
2268,"Këtë muaj, shumë faleminderit për informacionin e vlefshëm.",1
2269,Puna e tyre ka lënë gjurmë pozitive.,1
2270,Skandali ka dëmtuar besimin e publikut.,0
2271,"Javën e kaluar, ky vendim ka efekte pozitive dhe negative.",0/1
2272,Suksesi i tyre është i merituar plotësisht.,1
2273,Jam shumë i kënaqur me blerjen time.,1
2274,"Dje, dorëzimi u vonua shumë pa arsye.",0
2275,Progresi i arritur është vërtet i jashtëzakonshëm.,1
2276,Ekspertët kanë mendime të ndryshme mbi temën.,0/1
2277,Kurrë më nuk do të blej nga ky dyqan.,0
2278,Mund të ketë prodhime që i pershtateshin me mire nevojes.,0/1
2279,Asnjëherë nuk do ta blej sërish.,0
2280,Vendimi solli pasoja negative për të gjithë.,0
2281,Rezultatet janë të përziera dhe varen nga perspektiva.,0/1
2282,Infrastruktura është në gjendje të mjerueshme.,0
2283,Garancia nuk u respektua fare.,0
2284,"Dje, humbja e parave ishte e pafalshme.",0
2285,Suksesi i tyre është i merituar plotësisht.,1
2286,Shërbimi ndaj klientit ishte i jashtëzakonshëm.,1
2287,Jam i mahnitur me shpejtësinë e dorëzimit.,1
2288,Gjendja po përkeqësohet dita-ditës.,0
2289,Artikulli jep informacion bazik pa thellim.,0/1
2290,"Nga përvoja ime, ky shërbim publik ka dështuar plotësisht.",0
2291,Produkti arriti saktësisht siç u përshkrua.,1
2292,Rezultatet ishin shumë nën pritshmëritë.,0
2293,Libri është ndër më të mirët që kam lexuar.,1
2294,Ky institucion ka humbur çdo kredibilitet.,0
2295,"Siç duket, çështja është nën shqyrtim dhe do të vendoset.",0/1
2296,Ngjarjet janë zhvilluar normalisht pa incidente.,0/1
2297,Rezultatet janë të përziera dhe varen nga perspektiva.,0/1
2298,Lajmi raporton ngjarjen pa koment.,0/1
2299,Nuk e meritoja këtë shërbim të keq.,0
2300,Faqja e internetit është e lehtë për t'u përdorur.,1
2301,Shërbimi plotëson kërkesat minimale.,0/1
2302,Nuk ka ndryshime të mëdha të raportuara.,0/1
2303,Cilësia korrespondon me çmimin e paguar.,0/1
